time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.78,0.632676 0.191624 0.363047, 15.0534  2.89451 -20.1648,   1.06538   0.465423 -0.0816002,   0.821115  -0.0254404 -0.00537076, 0.569414  0.657927 0.0099114,  0.119895   0.165279 -0.0160774,0 0 0,-14.1231  7.03459  233.965,0 0 0, 16.2381 -13.9821    212.4
0.79,0.645314 0.197964 0.365998, 14.2742  3.27151 -19.6437,   1.06947   0.467237 -0.0865145,   0.821115  -0.0254404 -0.00537076, 0.574896  0.660332 0.0072703,  0.119895   0.165279 -0.0160774,0 0 0,-3.93736  1.54557  67.2234,0 0 0, 4.58892 -4.04297  61.1846
0.8, 0.65795 0.204366 0.368294, 13.4818  3.65599 -19.1097,   1.07086    0.46786 -0.0882315,   0.821115  -0.0254404 -0.00537076,  0.576775   0.661154 0.00634751,  0.119895   0.165279 -0.0160774,0 0 0,-5.68434e-14 -2.13163e-14  4.54747e-13,0 0 0,-2.84217e-14 -2.84217e-14            0
0.81,0.670583 0.210763 0.369688, 12.6944  4.04584 -18.5767,   1.07086    0.46786 -0.0882315,   0.821803  -0.0248204 -0.00588504,  0.576775   0.661154 0.00634751,  0.121294   0.165841 -0.0157549, 6.72547 -24.2743   37.328,0 0 0,-11.5681  10.3012   58.345,0 0 0
0.82,0.683212 0.217072 0.370248, 11.9293  4.44582 -18.0545,   1.07086    0.46786 -0.0882315,   0.823815  -0.0230118 -0.00735695,  0.576775   0.661154 0.00634751,  0.125386   0.167485 -0.0148318,25.2454 -85.424 128.268,0 0 0,-41.8995  35.4085  201.826,0 0 0
0.83, 0.69583 0.223201 0.370123, 11.2038  4.86242 -17.5517,   1.07086    0.46786 -0.0882315,   0.827067  -0.0200922 -0.00968009,  0.576775   0.661154 0.00634751,   0.13202    0.17014 -0.0133748, 53.0752 -165.939  241.253,0 0 0,-84.4346  66.6279  383.111,0 0 0
0.84,0.708432 0.229059 0.369461, 10.5351  5.30214 -17.0772,   1.07086    0.46786 -0.0882315,  0.831479 -0.0161388 -0.0127481,  0.576775   0.661154 0.00634751,   0.14104   0.173739 -0.0114507, 87.7302 -248.309  344.718,0 0 0,-132.614  95.2651  554.869,0 0 0
0.85,0.721011 0.234557 0.368411, 9.94047  5.77146 -16.6395,   1.07086    0.46786 -0.0882315,  0.836969 -0.0112291 -0.0164544,  0.576775   0.661154 0.00634751,   0.152292    0.178214 -0.00912616, 126.726 -315.025  407.096,0 0 0,-179.878  112.626  669.769,0 0 0
0.86,0.733564 0.239604  0.36712, 9.43714  6.27687 -16.2474,   1.07086    0.46786 -0.0882315,   0.843454 -0.00544036  -0.0206928,  0.576775   0.661154 0.00634751,   0.165623    0.183497 -0.00646799, 167.577 -348.576  396.821,0 0 0,-219.668  110.016   680.48,0 0 0
0.87,0.746083 0.244108 0.365737, 9.04236  6.82488 -15.9097,   1.07086    0.46786 -0.0882315,  0.850854  0.0011499 -0.0253569,  0.576775   0.661154 0.00634751,   0.180879    0.189519 -0.00354289, 207.276 -335.466  291.708,0 0 0,-246.102  81.3188  552.944,0 0 0
0.88,0.758563  0.24798 0.364411,8.77338 7.42196 -15.635,   1.07086    0.46786 -0.0882315,  0.859087 0.00846434 -0.0303401,  0.576775   0.661154 0.00634751,  0.197906   0.196213 -0.0004176,  237.26 -315.559  191.494,0 0 0,-263.391  53.9176  426.424,0 0 0
