time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.8, 0.492074 -0.131995  0.403875,  -1.543  1.78803 -11.6637,     0.96523   -0.0932079 -1.27676e-15,   0.660828   -0.339811 2.49457e-15,   0.302611   0.0630676 3.33067e-16, -0.0106271   -0.224084 2.79147e-15,0 0 0, 1.42109e-14 -2.84217e-14  1.13687e-13,0 0 0,-1.42109e-14            0            0
0.81, 0.503613 -0.130103  0.403021,-3.45904   1.9934 -11.7528,     0.96523   -0.0932079 -1.22442e-15,  0.662287  -0.339997 0.00108394,   0.302611   0.0630676 3.88126e-16,-0.00911578   -0.224067  0.00126901,0.734544 -3.48148  25.7782,0 0 0,0.624838 -3.95208  26.9288,0 0 0
0.82,  0.51516 -0.128253  0.401483, -5.3461  2.19349 -11.8452,     0.96523   -0.0932079 -1.22442e-15,  0.666546   -0.34054 0.00418624,   0.302611   0.0630676 3.88126e-16,-0.00470506   -0.224018    0.004901, 2.61107 -12.3803  91.6826,0 0 0,2.22096 -14.054 95.7758,0 0 0
0.83, 0.526722 -0.126486  0.399557,-7.17485  2.38416 -11.9404,     0.96523   -0.0932079 -1.22442e-15,  0.673424  -0.341416 0.00908264,   0.302611   0.0630676 3.88126e-16,0.00241995  -0.223939  0.0106334, 5.13892 -24.3779  180.568,0 0 0,  4.3708 -27.6741  188.631,0 0 0
0.84, 0.538306 -0.124844  0.397539,-8.91594  2.56127 -12.0383,     0.96523   -0.0932079 -1.22442e-15, 0.682744 -0.342604 0.0155489,   0.302611   0.0630676 3.88126e-16,0.0120742 -0.223832 0.0182037,7.82742 -37.156 275.288,0 0 0, 6.65676 -42.1811  287.587,0 0 0
0.85,  0.54992 -0.123369  0.395725,  -10.54  2.72068 -12.1386,     0.96523   -0.0932079 -1.22442e-15, 0.694328  -0.34408 0.0233607,   0.302611   0.0630676 3.88126e-16,0.0240726 -0.223699 0.0273493, 10.1859 -48.3961  358.698,0 0 0, 8.66127 -54.9432  374.732,0 0 0
0.86, 0.561572 -0.122101  0.394411,-12.0178  2.85825 -12.2409,     0.96523   -0.0932079 -1.22442e-15, 0.707995 -0.345821 0.0322938,   0.302611   0.0630676 3.88126e-16,0.0382301 -0.223542 0.0378077, 11.7238 -55.7797  413.653,0 0 0, 9.96674 -63.3291  432.157,0 0 0
0.87,  0.57327 -0.121084  0.393895,-13.3198  2.96983  -12.345,     0.96523   -0.0932079 -1.22442e-15, 0.723569 -0.347806  0.042124,   0.302611   0.0630676 3.88126e-16,0.0543616 -0.223363 0.0493163, 12.0447 -57.4308  426.267,0 0 0,  10.236 -65.2092   445.36,0 0 0
0.88,  0.58502 -0.120358  0.394471,-14.4168  3.05128 -12.4506,     0.96523   -0.0932079 -1.22442e-15,0.740869 -0.35001 0.052627,   0.302611   0.0630676 3.88126e-16,0.0722821 -0.223164 0.0616125, 12.0302 -57.4689  426.868,0 0 0, 10.2207 -65.2571  446.008,0 0 0
0.89,  0.59683 -0.119964  0.396436,-15.2793  3.09847 -12.5574,     0.96523   -0.0932079 -1.22442e-15, 0.759718 -0.352412 0.0635785,   0.302611   0.0630676 3.88126e-16,0.0918065 -0.222947 0.0744339, 12.0216 -57.4917  427.228,0 0 0, 10.2115 -65.2859  446.396,0 0 0
0.9, 0.608708 -0.119946  0.400087,-15.8782  3.10726 -12.6652,     0.96523   -0.0932079 -1.22442e-15, 0.779937 -0.354988 0.0747542,   0.302611   0.0630676 3.88126e-16,  0.11275 -0.222714 0.0875178, 12.0187 -57.4993  427.348,0 0 0, 10.2084 -65.2955  446.526,0 0 0
